School,County,School Street,School ZIP Code,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free
ALDEN INTERMEDIATE SCHOOL,Erie,1648 CRITTENDEN ROAD,14004,ALDEN INTERMEDIATE SCHOOL,,101.0,338.0,0.2988165680473373
ALDEN MIDDLE SCHOOL,Erie,13250 PARK STREET,14004,ALDEN MIDDLE SCHOOL,,106.0,356.0,0.29775280898876405
ALDEN PRIMARY SCHOOL,Erie,11197 BROADWAY,14004,ALDEN  SCHOOL,,101.0,338.0,0.2988165680473373
ALDEN SENIOR HIGH SCHOOL,Erie,13190 PARK STREET,14004,ALDEN SENIOR HIGH SCHOOL,,137.0,496.0,0.2762096774193548
AMHERST CENTRAL HS,Erie,4301 MAIN ST,14226,AMHERST CENTRAL,,267.0,886.0,0.3013544018058691
AMHERST MS,Erie,55 KINGS HWY,14226,AMHERST,,267.0,886.0,0.3013544018058691
SMALLWOOD DRIVE ELEM SCHOOL,Erie,300 SMALLWOOD DR,14226,SMALLWOOD DRIVE  SCHOOL,,106.0,679.0,0.1561119293078056
WINDERMERE BLVD SCHOOL,Erie,291 WINDERMERE BLVD,14226,WINDERMERE BLVD SCHOOL,,353.0,761.0,0.46386333771353483
PS  3 D'YOUVILLE PORTER CAMPUS,Erie,255 PORTER AVE,14201,D'YOUVILLE PORTER CAMPUS,3.0,484.0,519.0,0.9325626204238922
PS 156 FREDERICK LAW OLMSTEAD SCHOOL (@203),Erie,319 SUFFOLK AVE,14202,FREDERICK LAW OLMSTEAD SCHOOL,156.0,213.0,572.0,0.3723776223776224
PS 17 EARLY CHILDHOOD CENTER,Erie,1045 W DELAVAN,14209,EARLY CHILDHOOD CENTER,17.0,505.0,553.0,0.9132007233273056
PS 18 ANTONIA PANTOJA SCHOOL OF ACADEMIC EXCELLENCE,Erie,118 HAMPSHIRE ST,14213,ANTONIA PANTOJA SCHOOL OF ACADEMIC EXCELLENCE,18.0,,,
PS 19 NATIVE AMERICAN MAGNET SCHOOL,Erie,97 W. DELAVAN AVE,14213,NATIVE AMERICAN MAGNET SCHOOL,19.0,330.0,357.0,0.9243697478991597
PS 192 BUFFALO ACADEMY FOR ARTS,Erie,450 MASTEN AVE,14204,BUFFALO ACADEMY FOR ARTS,192.0,388.0,575.0,0.6747826086956522
PS 195 CITY HONORS AT FMP,Erie,186 E NORTH ST,14204,CITY HONORS AT FMP,195.0,478.0,1056.0,0.45265151515151514
PS 197 MATH SCIENCE TECHNOLOGY PREP SCHOOL,Erie,666 E DELEVAN ST,14215,MATH SCIENCE TECHNOLOGY PREP SCHOOL,197.0,366.0,389.0,0.9408740359897172
PS 198 INTERNATIONAL PREPARATORY SCHOOL,Erie,110 14TH ST,14213,INTERNATIONAL PREPARATORY SCHOOL,198.0,590.0,614.0,0.9609120521172638
PS 206 SOUTH PARK HIGH SCHOOL,Erie,150 SOUTHSIDE PKWY,14220,SOUTH PARK HIGH SCHOOL,206.0,651.0,726.0,0.8966942148760331
PS 212 LEONARDO DA VINCI HIGH SCHOOL (@8),Erie,167 EAST UTICA ST,14201,LEONARDO DA VINCI HIGH SCHOOL,212.0,277.0,361.0,0.7673130193905817
PS 27 HILLERY PARK ACADEMY,Erie,73 PAWNEE PKWY,14210,HILLERY PARK ACADEMY,27.0,427.0,499.0,0.8557114228456913
PS 30 FRANK A SEDITA ACADEMY,Erie,21 LOWELL PL,14213,FRANK SEDITA ACADEMY,30.0,569.0,604.0,0.9420529801324503
PS 301 BURGARD HIGH SCHOOL,Erie,400 KENSINGTON AVE,14214,BURGARD HIGH SCHOOL,301.0,419.0,459.0,0.9128540305010894
PS 302 EMERSON SCHOOL OF HOSPITALITY,Erie,70 W CHIPPEWA ST,14202,EMERSON SCHOOL OF HOSPITALITY,302.0,,,
PS 304 HUTCHINSON CENTRAL TECHNICAL HIGH SCHOOL,Erie,256 S ELMWOOD AVE,14201,HUTCHINSON CENTRAL TECHNICAL HIGH SCHOOL,304.0,939.0,1162.0,0.8080895008605852
PS 305 MCKINLEY HIGH  SCHOOL,Erie,1500 ELMWOOD AVE,14207,MCKINLEY HIGH SCHOOL,305.0,860.0,940.0,0.9148936170212766
PS 31 HARRIET ROSS TUBMAN SCHOOL,Erie,212 STANTON ST,14212,HARRIET ROSS TUBMAN SCHOOL,31.0,486.0,506.0,0.9604743083003953
PS 32 BENNETT PARK MONTESSORI SCHOOL,Erie,342 CLINTON ST,14204,BENNETT PARK MONTESSORI SCHOOL,32.0,435.0,600.0,0.725
